cpp,Which operator is used for conditional expression?,?:,::,++,--,0,Ternary operator is ?:,operators

cpp,Which function calculates square root in C++?,sqrt(),pow(),root(),square(),0,sqrt() in cmath,library

cpp,Which function generates random number?,rand(),random(),gen(),number(),0,rand() generates random number,library

cpp,Which header is used for file handling?,fstream,iomanip,stdio,math,0,fstream handles files,file

cpp,Which stream is used to write file?,ofstream,ifstream,fstream,ostream,0,ofstream writes file,file

cpp,Which stream is used to read file?,ifstream,ofstream,fstream,istream,0,ifstream reads file,file

cpp,Which concept allows code reuse?,Inheritance,Encapsulation,Abstraction,Polymorphism,0,Inheritance promotes reuse,oops

cpp,Which keyword prevents function overriding?,final,static,const,stop,0,final restricts overriding,oops

cpp,Which type of casting is safest in C++?,static_cast,reinterpret_cast,C-style cast,void cast,0,static_cast is safer,casting

cpp,Which container allows dynamic resizing?,vector,array,list,set,0,vector resizes dynamically,stl

cpp,Which container is implemented as linked list?,list,vector,stack,array,0,list uses linked structure,stl

cpp,Which complexity does merge sort have?,O(n log n),O(n),O(n^2),O(log n),0,Merge sort efficient,algo

cpp,Which complexity does bubble sort have?,O(n^2),O(n),O(log n),O(1),0,Bubble sort inefficient,algo

cpp,Which function reverses elements?,reverse(),sort(),find(),swap(),0,reverse reverses container,stl
subject,Question,A,B,C,D,answer,explanation,topic
accounting,Which accounting concept assumes business will continue for the foreseeable future?,Accrual Concept,Going Concern Concept,Consistency Concept,Matching Concept,1,Going concern assumes business continuity; accrual deals with timing; consistency with methods; matching with expense-revenue alignment,basics
accounting,Which method allocates the cost of an asset evenly over its useful life?,Declining Balance Method,Sum-of-Years-Digits Method,Straight Line Method,Units of Production Method,2,Straight line spreads cost evenly; others allocate unevenly based on usage or time factors,depreciation
accounting,What is the primary purpose of a trial balance?,Detect fraud,Prepare ledger,Check arithmetic accuracy,Record transactions,2,Trial balance ensures debit equals credit; it cannot detect all frauds or record transactions,trial_balance
accounting,Which account is credited when capital is introduced in cash?,Capital Account,Cash Account,Drawings Account,Revenue Account,0,Capital increases → credited; cash increases → debited; drawings reduce capital; revenue unrelated,ledger
accounting,What is the effect of outstanding expenses on financial statements?,Increase asset,Decrease liability,Increase liability,No effect,2,Outstanding expenses are liabilities since payment is pending; assets do not increase,adjustments
accounting,Which principle requires revenue to be recognized when earned?,Matching Principle,Accrual Principle,Consistency Principle,Conservatism Principle,1,Accrual recognizes income when earned; matching aligns expenses; conservatism is cautious approach,basics
accounting,Which error is not disclosed by trial balance?,Error of omission,Error of casting,Error of posting,Error of balancing,0,Complete omission does not affect trial balance totals; others affect arithmetic balance,trial_balance
accounting,What type of account is 'Prepaid Insurance'?,Liability,Expense,Asset,Income,2,Prepaid insurance is a future benefit → asset; not expense until consumed,adjustments
accounting,Which account is debited when goods are purchased for cash?,Purchase Account,Cash Account,Sales Account,Debtors Account,0,Purchase increases → debited; cash decreases → credited; others irrelevant,ledger
accounting,What is goodwill in accounting?,Tangible asset,Intangible asset,Fictitious asset,Current asset,1,Goodwill is intangible; it lacks physical form; not fictitious or current,basics
accounting,Which financial statement shows financial position?,Income Statement,Balance Sheet,Cash Flow Statement,Trial Balance,1,Balance sheet shows assets/liabilities; income statement shows performance,financial_statements
accounting,Which method values inventory at latest purchase price?,FIFO,LIFO,Weighted Average,Specific Identification,1,LIFO assumes latest items sold first; FIFO uses earliest; weighted average averages cost,inventory
accounting,What is the normal balance of liabilities?,Debit,Credit,Both,None,1,Liabilities increase with credit; assets use debit,basics
accounting,Which account records personal withdrawals by owner?,Capital,Drawings,Expense,Revenue,1,Drawings reduce owner's capital; not an expense or revenue,ledger
accounting,Which concept ensures expenses are recorded in same period as revenues?,Accrual,Matching,Going Concern,Consistency,1,Matching aligns expenses with revenues; accrual is broader recognition principle,basics
accounting,What is depreciation?,Increase in asset value,Decrease in asset value over time,Expense recognition only,Cash outflow,1,Depreciation represents reduction in asset value; not necessarily cash outflow,depreciation
accounting,Which account type is 'Accounts Payable'?,Asset,Liability,Expense,Revenue,1,Accounts payable represents obligation; hence liability,ledger
accounting,What is the purpose of adjusting entries?,Correct errors,Record daily transactions,Update accounts before final statements,Prepare trial balance,2,Adjustments ensure correct period accounting; not for error correction directly,adjustments
accounting,Which financial statement shows profitability?,Balance Sheet,Income Statement,Cash Flow,Trial Balance,1,Income statement reports revenues and expenses → profit,financial_statements
accounting,What does FIFO stand for?,First In Final Out,First In First Out,Final In First Out,Fixed In First Out,1,FIFO assumes earliest inventory sold first; others incorrect expansions,inventory
accounting,Which account is affected when depreciation is recorded?,Cash,Asset,Capital,Revenue,1,Depreciation reduces asset value; cash not immediately affected,depreciation
accounting,What is capital?,Owner’s investment,Profit,Revenue,Expense,0,Capital represents owner's investment; not same as profit or revenue,basics
accounting,Which account increases with debit?,Liability,Capital,Asset,Revenue,2,Assets increase with debit; liabilities and capital increase with credit,basics
accounting,What is ledger?,Book of original entry,Book of final entry,Summary of accounts,Journal entries,2,Ledger classifies accounts; journal records transactions initially,ledger
accounting,Which entry records credit sale?,Debit Cash,Credit Sales,Debit Debtors,Credit Purchases,2,Debtors increase (debit); sales credited; cash not involved,ledger
accounting,What is trial balance?,List of assets,List of expenses,List of debit and credit balances,List of transactions,2,Trial balance lists ledger balances; ensures arithmetic accuracy,trial_balance
accounting,Which account is affected by accrued income?,Asset increases,Liability increases,Expense increases,Revenue decreases,0,Accrued income is receivable → asset increases,adjustments
accounting,Which method is based on usage of asset?,Straight line,Units of production,Declining balance,FIFO,1,Units of production depends on output; others are time-based,depreciation
accounting,Which concept assumes stable currency?,Money Measurement,Going Concern,Consistency,Matching,0,Money measurement assumes stable monetary unit,basics
accounting,Which account is credited when goods are sold for cash?,Cash,Sales,Purchase,Debtors,1,Sales is credited; cash debited,ledger
subject,Question,A,B,C,D,answer,explanation,topic
accounting,Which ratio measures a company's ability to meet short-term obligations?,Debt Equity Ratio,Current Ratio,Net Profit Ratio,Inventory Turnover Ratio,1,Current ratio compares current assets to current liabilities indicating liquidity; others measure solvency or profitability,ratios
accounting,What happens when depreciation is charged on an asset?,Asset value increases,Asset value decreases,Liability increases,Revenue increases,1,Depreciation reduces the book value of an asset over time; it does not affect revenue or liabilities directly,depreciation
accounting,Which account is debited when rent is paid in advance?,Rent Expense,Prepaid Rent,Cash,Capital,1,Prepaid rent is an asset because benefit is future; expense is recognized later,adjustments
accounting,Which financial statement shows cash inflows and outflows?,Balance Sheet,Income Statement,Cash Flow Statement,Trial Balance,2,Cash flow statement records actual cash movements; others focus on accrual or position,financial_statements
accounting,Which method assumes inventory sold is from earliest purchases?,LIFO,FIFO,Weighted Average,Standard Cost,1,FIFO assumes oldest inventory is sold first; LIFO assumes latest,inventory
accounting,What is the normal balance of revenue accounts?,Debit,Credit,None,Both,1,Revenue increases owner's equity and is recorded on credit side,basics
accounting,Which error affects only one account?,Error of omission,Error of commission,Error of principle,Error of complete reversal,1,Error of commission involves incorrect posting in one account; omission affects both sides equally,errors
accounting,Which concept ensures consistency in accounting methods?,Matching,Consistency,Accrual,Going Concern,1,Consistency ensures same accounting methods across periods for comparability,basics
accounting,What is the effect of accrued expenses?,Increase asset,Increase liability,Decrease expense,No effect,1,Accrued expenses are unpaid obligations → liabilities increase,adjustments
accounting,Which account is credited when interest is received?,Interest Expense,Interest Income,Cash,Capital,1,Interest received is income → credited; cash is debited,ledger
accounting,Which ratio indicates efficiency in using inventory?,Current Ratio,Quick Ratio,Inventory Turnover Ratio,Debt Ratio,2,Inventory turnover shows how frequently inventory is sold; others measure liquidity/solvency,ratios
accounting,What is the purpose of a balance sheet?,Show profit,Show financial position,Show cash flow,Show expenses,1,Balance sheet shows assets, liabilities, equity at a point in time,financial_statements
accounting,Which account type is 'Unearned Revenue'?,Asset,Liability,Expense,Capital,1,Unearned revenue represents obligation to provide service → liability,adjustments
accounting,Which method results in higher profit in inflation?,FIFO,LIFO,Weighted Average,None,0,FIFO uses older lower costs → higher profit; LIFO uses higher recent costs reducing profit,inventory
accounting,What is the effect of drawings on capital?,Increase capital,Decrease capital,No effect,Increase liability,1,Drawings reduce owner's equity; not a liability,ledger
accounting,Which principle states losses should be recorded immediately?,Consistency,Conservatism,Matching,Accrual,1,Conservatism records expected losses but not unrealized gains,basics
accounting,Which account is debited for credit purchase?,Purchase,Cash,Sales,Capital,0,Purchase increases → debited; cash not involved in credit purchase,ledger
accounting,What is depreciation mainly based on?,Market value,Historical cost,Future value,Replacement cost,1,Depreciation is based on original cost allocation, not market fluctuations,depreciation
accounting,Which ratio shows long-term solvency?,Current Ratio,Quick Ratio,Debt Equity Ratio,Inventory Ratio,2,Debt equity ratio evaluates long-term financial structure,ratios
accounting,Which statement includes operating, investing, financing activities?,Income Statement,Balance Sheet,Cash Flow Statement,Trial Balance,2,Cash flow statement is divided into these three activities,financial_statements
accounting,Which account is affected by bad debts?,Cash,Debtors,Capital,Inventory,1,Bad debts reduce receivables; cash already not received,adjustments
accounting,Which concept ignores price level changes?,Money Measurement,Accrual,Consistency,Matching,0,Money measurement assumes stable currency value ignoring inflation,basics
accounting,Which account is credited when goods are returned?,Sales Return,Purchase Return,Cash,Debtors,1,Purchase return reduces purchases → credited,ledger
accounting,What is a fictitious asset?,Real asset,Intangible asset,Deferred expense,Current asset,2,Fictitious assets are expenses not yet written off,basics
accounting,Which error does not affect trial balance?,Error of omission,Error of posting,Error of casting,Error of balancing,0,Omission keeps both sides equal; others disturb balance,trial_balance
accounting,Which account is debited when salary is outstanding?,Salary Expense,Outstanding Salary,Cash,Capital,0,Expense is incurred → debited; liability is credited,adjustments
accounting,Which ratio excludes inventory?,Current Ratio,Quick Ratio,Debt Ratio,Profit Ratio,1,Quick ratio excludes inventory for stricter liquidity check,ratios
accounting,Which method spreads depreciation unevenly?,Straight Line,Declining Balance,Units Method,None,1,Declining balance applies higher depreciation earlier,depreciation
accounting,Which account is credited for commission earned?,Commission Expense,Commission Income,Cash,Debtors,1,Income accounts are credited; cash is debited,ledger
accounting,Which concept separates business from owner?,Entity Concept,Going Concern,Matching,Accrual,0,Entity concept treats business separately from owner,basics
accounting,Which account is debited for cash sales?,Cash,Sales,Debtors,Capital,0,Cash increases → debited; sales credited,ledger
accounting,Which ratio measures profitability?,Current Ratio,Debt Ratio,Net Profit Ratio,Quick Ratio,2,Net profit ratio shows profit relative to revenue,ratios
accounting,Which account is reduced by depreciation?,Liability,Asset,Revenue,Expense,1,Depreciation reduces asset value, not liabilities,depreciation
accounting,Which account is credited when capital is withdrawn?,Drawings,Cash,Capital,Expense,2,Capital is reduced → credited; drawings debited,ledger
accounting,Which concept records revenue when earned?,Cash Basis,Accrual Basis,Consistency,Matching,1,Accrual basis records income when earned not received,basics
accounting,Which statement shows revenues and expenses?,Balance Sheet,Income Statement,Cash Flow,Ledger,1,Income statement calculates profit/loss,financial_statements
accounting,Which account is debited when goods returned by customer?,Sales Return,Purchase,Cash,Debtors,0,Sales return reduces revenue → debited,ledger
accounting,Which ratio shows immediate liquidity?,Current Ratio,Quick Ratio,Inventory Ratio,Debt Ratio,1,Quick ratio excludes inventory giving immediate liquidity view,ratios
accounting,Which concept assumes indefinite life of business?,Matching,Consistency,Going Concern,Accrual,2,Going concern assumes business continues indefinitely,basics
accounting,Which account is credited for discount received?,Discount Allowed,Discount Received,Cash,Expense,1,Discount received is income → credited,ledger
accounting,Which account type is 'Outstanding Rent'?,Asset,Liability,Expense,Revenue,1,Outstanding rent is unpaid obligation → liability,adjustments
accounting,Which ratio indicates operational efficiency?,Inventory Turnover,Current Ratio,Debt Ratio,Quick Ratio,0,Inventory turnover reflects efficiency in managing stock,ratios
accounting,Which method considers salvage value?,Straight Line,Declining Balance,Both,None,2,Both methods may consider residual value in calculation,depreciation
accounting,Which account is debited for bad debts written off?,Bad Debts,Debtors,Cash,Revenue,0,Bad debts expense is recognized → debited,adjustments
accounting,Which concept ensures comparability?,Consistency,Accrual,Matching,Entity,0,Consistency allows comparison across periods,basics
accounting,Which account is credited when loan is taken?,Loan Account,Cash,Capital,Revenue,0,Loan increases liability → credited; cash debited,ledger
accounting,Which ratio measures financial leverage?,Current Ratio,Debt Equity Ratio,Profit Ratio,Quick Ratio,1,Debt equity ratio measures leverage between debt and equity,ratios
accounting,Which account is debited when interest is due but unpaid?,Interest Expense,Interest Payable,Cash,Capital,0,Expense is incurred → debited; liability credited,adjustments
accounting,Which method gives equal depreciation?,Straight Line,Declining Balance,Units Method,Sum Method,0,Straight line gives equal charge every year,depreciation
accounting,Which account is credited when income is accrued?,Accrued Income,Income,Cash,Expense,1,Income is earned → credited; accrued income is asset debited,adjustments
subject,Question,A,B,C,D,answer,explanation,topic
accounting,Which accounting principle requires assets to be recorded at purchase cost?,Historical Cost,Matching,Consistency,Accrual,0,Historical cost records assets at original purchase value; others deal with timing or consistency,basics
accounting,Which ratio is used to measure profitability relative to sales?,Gross Profit Ratio,Current Ratio,Debt Ratio,Quick Ratio,0,Gross profit ratio shows gross profit as percentage of sales indicating profitability,ratios
accounting,Which account is debited when goods are purchased on credit?,Purchase,Cash,Sales,Capital,0,Purchase increases and is debited; cash is not involved in credit transactions,ledger
accounting,What is the effect of prepaid expenses on profit?,Increase profit,Decrease profit,No effect,Increase liability,0,Prepaid expenses reduce current expenses increasing profit,adjustments
accounting,Which statement shows owner's equity changes?,Balance Sheet,Income Statement,Cash Flow,Statement of Changes in Equity,3,This statement tracks equity changes over period unlike others,financial_statements
accounting,Which account is credited when salary is paid?,Cash,Salary Expense,Capital,Liability,0,Cash decreases → credited; expense is debited,ledger
accounting,Which method allocates higher depreciation in early years?,Straight Line,Declining Balance,Units Method,None,1,Declining balance accelerates depreciation initially,depreciation
accounting,Which ratio measures ability to pay immediate liabilities?,Current Ratio,Quick Ratio,Debt Ratio,Profit Ratio,1,Quick ratio excludes inventory for immediate liquidity,ratios
accounting,Which account type is 'Bills Receivable'?,Asset,Liability,Expense,Income,0,Bills receivable are amounts to be received → asset,ledger
accounting,Which concept assumes stable currency value?,Money Measurement,Going Concern,Matching,Consistency,0,Money measurement assumes currency stability ignoring inflation,basics
accounting,Which error occurs when transaction is recorded in wrong account?,Error of omission,Error of commission,Error of principle,None,1,Wrong account posting is error of commission,errors
accounting,Which account is debited when rent is unpaid?,Rent Expense,Cash,Capital,Revenue,0,Expense is incurred → debited; liability credited,adjustments
accounting,Which financial statement shows net profit?,Balance Sheet,Income Statement,Cash Flow,Trial Balance,1,Income statement calculates profit or loss,financial_statements
accounting,Which ratio measures efficiency in asset usage?,Asset Turnover Ratio,Current Ratio,Debt Ratio,Quick Ratio,0,Asset turnover shows revenue generated from assets,ratios
accounting,Which account is credited when goods sold on credit?,Sales,Cash,Debtors,Purchase,0,Sales increases → credited; debtors debited,ledger
accounting,Which concept ensures expenses recorded in correct period?,Matching,Consistency,Going Concern,Entity,0,Matching aligns expenses with revenues,basics
accounting,Which account is debited when capital is withdrawn?,Drawings,Cash,Capital,Expense,0,Drawings reduce capital and are debited,ledger
accounting,Which ratio measures solvency?,Current Ratio,Debt Equity Ratio,Quick Ratio,Inventory Ratio,1,Debt equity ratio measures long-term solvency,ratios
accounting,Which account type is 'Accrued Income'?,Asset,Liability,Expense,Revenue,0,Accrued income is receivable → asset,adjustments
accounting,Which method spreads cost evenly?,Straight Line,Declining Balance,Units,None,0,Straight line gives equal depreciation each year,depreciation
accounting,Which account is credited when loan is repaid?,Loan,Cash,Capital,Expense,1,Cash decreases → credited; loan debited,ledger
accounting,Which ratio excludes prepaid expenses?,Quick Ratio,Current Ratio,Debt Ratio,Profit Ratio,0,Quick ratio excludes prepaid expenses for liquidity,ratios
accounting,Which account is debited for discount allowed?,Discount Allowed,Cash,Revenue,Capital,0,Discount allowed is expense → debited,ledger
accounting,Which concept treats owner separately?,Entity,Going Concern,Matching,Consistency,0,Entity concept separates owner and business,basics
accounting,Which account is credited for bad debts recovered?,Bad Debt,Cash,Income,Expense,2,Recovery is income → credited,adjustments
accounting,Which statement shows liabilities?,Income Statement,Balance Sheet,Cash Flow,Trial Balance,1,Balance sheet lists liabilities and assets,financial_statements
accounting,Which ratio measures profitability?,Net Profit Ratio,Current Ratio,Debt Ratio,Quick Ratio,0,Net profit ratio indicates profitability efficiency,ratios
accounting,Which account is debited for purchase return?,Purchase Return,Cash,Sales,Debtors,0,Purchase return reduces purchases → debited,ledger
accounting,Which method is based on production units?,Straight Line,Units Method,Declining Balance,None,1,Units method depends on usage output,depreciation
accounting,Which account is credited for commission income?,Commission Income,Cash,Expense,Capital,0,Income increases → credited,ledger
accounting,Which ratio shows liquidity?,Current Ratio,Debt Ratio,Profit Ratio,Inventory Ratio,0,Current ratio measures short-term liquidity,ratios
accounting,Which account is debited for accrued expenses?,Expense,Cash,Capital,Revenue,0,Expense is incurred → debited,adjustments
accounting,Which concept records transactions in money?,Money Measurement,Matching,Consistency,Accrual,0,Only measurable in monetary terms are recorded,basics
accounting,Which account is credited when interest is paid?,Cash,Interest Expense,Capital,Liability,0,Cash decreases → credited,ledger
accounting,Which ratio measures efficiency?,Inventory Turnover,Current Ratio,Debt Ratio,Quick Ratio,0,Inventory turnover shows stock efficiency,ratios
accounting,Which account is debited for cash purchase?,Purchase,Cash,Sales,Capital,0,Purchase increases → debited,ledger
accounting,Which statement shows cash changes?,Income Statement,Balance Sheet,Cash Flow,Trial Balance,2,Cash flow tracks cash inflows/outflows,financial_statements
accounting,Which account is credited for prepaid income?,Income,Liability,Cash,Expense,1,Prepaid income is liability until earned,adjustments
accounting,Which ratio measures leverage?,Debt Equity Ratio,Current Ratio,Quick Ratio,Profit Ratio,0,Leverage measured using debt equity ratio,ratios
accounting,Which account is debited for depreciation?,Depreciation Expense,Asset,Cash,Capital,0,Depreciation is expense → debited,depreciation
accounting,Which concept ensures comparability?,Consistency,Matching,Entity,Accrual,0,Consistency allows comparison across periods,basics
accounting,Which account is credited for drawings?,Cash,Drawings,Capital,Expense,0,Cash decreases → credited,ledger
accounting,Which ratio measures profitability per sales?,Gross Profit Ratio,Current Ratio,Debt Ratio,Quick Ratio,0,Gross profit ratio measures profitability from sales,ratios
accounting,Which account is debited for interest received?,Cash,Interest Income,Expense,Capital,0,Cash increases → debited,ledger
accounting,Which method gives declining depreciation?,Straight Line,Declining Balance,Units,None,1,Declining balance reduces value faster early,depreciation
accounting,Which account is credited for rent received?,Rent Income,Cash,Expense,Capital,0,Rent income increases → credited,ledger
accounting,Which ratio measures liquidity quickly?,Quick Ratio,Current Ratio,Debt Ratio,Profit Ratio,0,Quick ratio excludes inventory,ratios
accounting,Which account is debited for salary paid?,Salary Expense,Cash,Capital,Revenue,0,Expense increases → debited,ledger
accounting,Which concept assumes business continuity?,Going Concern,Matching,Consistency,Accrual,0,Going concern assumes indefinite operation,basics
accounting,Which account is credited for cash sales?,Sales,Cash,Debtors,Purchase,0,Sales credited; cash debited,ledger
accounting,Which ratio measures asset efficiency?,Asset Turnover,Current Ratio,Debt Ratio,Quick Ratio,0,Shows efficiency of asset usage,ratios
accounting,Which account is debited for goods returned?,Purchase Return,Cash,Sales,Debtors,0,Purchase return reduces purchases,ledger
accounting,Which account is credited for outstanding income?,Income,Cash,Expense,Capital,0,Income earned → credited,adjustments
accounting,Which method spreads cost equally?,Straight Line,Declining Balance,Units,None,0,Equal depreciation allocation,depreciation
accounting,Which account is debited for bad debts?,Bad Debts,Cash,Revenue,Capital,0,Expense recognized → debited,adjustments
accounting,Which ratio measures solvency long-term?,Debt Equity Ratio,Current Ratio,Quick Ratio,Inventory Ratio,0,Measures long-term financial stability,ratios
accounting,Which account is credited for interest income?,Interest Income,Cash,Expense,Capital,0,Income credited; cash debited,ledger
accounting,Which concept records revenue when earned?,Accrual,Matching,Consistency,Entity,0,Accrual recognizes earned revenue,basics
accounting,Which account is debited for capital introduced?,Cash,Capital,Expense,Revenue,0,Cash increases → debited,ledger
accounting,Which ratio measures profitability overall?,Net Profit Ratio,Current Ratio,Debt Ratio,Quick Ratio,0,Net profit ratio shows overall profitability,ratios
accounting,Which account is credited for discount received?,Discount Received,Cash,Expense,Capital,0,Discount received is income,ledger
accounting,Which method is production-based?,Units Method,Straight Line,Declining,None,0,Depends on asset usage,depreciation
accounting,Which account is debited for accrued income?,Accrued Income,Cash,Revenue,Expense,0,Asset increases → debited,adjustments
accounting,Which ratio measures liquidity?,Current Ratio,Debt Ratio,Profit Ratio,Inventory Ratio,0,Measures short-term obligations ability,ratios
accounting,Which account is credited for prepaid expense?,Asset,Liability,Cash,Expense,0,Prepaid expense is asset initially,adjustments
accounting,Which concept ensures matching?,Matching,Consistency,Accrual,Entity,0,Aligns expenses with revenue,basics
subject,Question,A,B,C,D,answer,explanation,topic
os,Which scheduling algorithm may cause starvation of processes?,FCFS,SJF,Round Robin,Priority Scheduling,3,Priority scheduling can indefinitely delay low-priority processes leading to starvation; others are more fair,process_scheduling
os,In which state does a process wait for CPU allocation?,Running,Ready,Blocked,Terminated,1,Ready state contains processes waiting for CPU; blocked waits for I/O,process_states
os,Which of the following is a non-preemptive scheduling algorithm?,Round Robin,SJF (non-preemptive),Priority (preemptive),Multilevel Queue,1,Non-preemptive SJF does not interrupt running process; others may preempt,scheduling
os,Thrashing occurs when?,CPU utilization is high,Memory swapping is excessive,Disk is idle,Processes are few,1,Thrashing happens due to excessive paging causing performance drop,memory_management
os,Which memory management technique eliminates external fragmentation?,Paging,Segmentation,Compaction,Swapping,0,Paging uses fixed-size pages eliminating external fragmentation,memory_management
os,What is the main function of an operating system?,Compile programs,Manage hardware and software resources,Execute programs,Store files,1,OS manages system resources and provides services to applications,basics
os,Which algorithm is used for deadlock avoidance?,Banker’s Algorithm,FCFS,SJF,Round Robin,0,Banker’s algorithm ensures safe state to avoid deadlocks,deadlock
os,What is a critical section?,Part of program accessing shared resource,Memory region,CPU register,File system,0,Critical section accesses shared resources requiring synchronization,synchronization
os,Which concept ensures mutual exclusion?,Semaphore,Deadlock,Thrashing,Paging,0,Semaphores control access to shared resources ensuring mutual exclusion,synchronization
os,Which scheduling algorithm gives minimum average waiting time?,FCFS,SJF,Round Robin,Priority,1,SJF minimizes average waiting time theoretically,scheduling
os,Which of the following causes deadlock?,Mutual exclusion,Hold and wait,No preemption,All of these,3,All four conditions together cause deadlock,deadlock
os,What is context switching?,Switching CPU to another process,Loading OS,Executing program,Interrupt handling,0,Context switch saves current process state and loads another,process_management
os,Which memory is fastest?,Cache,RAM,Disk,Virtual memory,0,Cache memory is fastest among listed types,memory
os,Which system call is used to create a process?,fork(),exec(),wait(),exit(),0,fork() creates a new child process in Unix-like systems,system_calls
os,What is a semaphore?,Scheduling tool,Memory unit,Synchronization variable,File,2,Semaphore is used for process synchronization,synchronization
os,Which technique is used in virtual memory?,Paging only,Segmentation only,Both paging and segmentation,None,2,Modern OS use both techniques for memory management,memory
os,What is the purpose of CPU scheduling?,Increase CPU idle time,Maximize CPU utilization,Reduce processes,Increase waiting time,1,Scheduling aims to maximize CPU efficiency,process_scheduling
os,Which state follows running state?,Ready,Blocked,Terminated,All of these,3,After running, process may go to ready, blocked, or terminated,process_states
os,Which scheduling is time-sharing based?,FCFS,SJF,Round Robin,Priority,2,Round Robin uses time quantum for sharing CPU,scheduling
